Time,Magnitude
9.500000000000147e-05,1
9.510000000000147e-05,1
9.520000000000147e-05,1
9.530000000000148e-05,1
9.540000000000148e-05,1
9.550000000000148e-05,0
9.560000000000148e-05,0
9.570000000000149e-05,0
9.580000000000149e-05,0
9.590000000000149e-05,0
9.600000000000149e-05,1
9.61000000000015e-05,1
9.62000000000015e-05,1
9.63000000000015e-05,1
9.64000000000015e-05,1
9.65000000000015e-05,0
9.660000000000151e-05,0
9.670000000000151e-05,0
9.680000000000151e-05,0
9.690000000000152e-05,0
9.700000000000152e-05,1
9.710000000000152e-05,1
9.720000000000152e-05,1
9.730000000000152e-05,1
9.740000000000153e-05,1
9.750000000000153e-05,0
9.760000000000153e-05,0
9.770000000000153e-05,0
9.780000000000154e-05,0
9.790000000000154e-05,0
9.800000000000154e-05,1
9.810000000000154e-05,1
9.820000000000155e-05,1
9.830000000000155e-05,1
9.840000000000155e-05,1
9.850000000000155e-05,0
9.860000000000156e-05,0
9.870000000000156e-05,0
9.880000000000156e-05,0
9.890000000000156e-05,0
9.900000000000157e-05,1
9.910000000000157e-05,1
9.920000000000157e-05,1
9.930000000000157e-05,1
9.940000000000158e-05,1
9.950000000000158e-05,0
9.960000000000158e-05,0
9.970000000000158e-05,0
9.980000000000159e-05,0
9.990000000000159e-05,0
0.00010000000000000159,1
0.00010010000000000159,1
0.0001002000000000016,1
0.0001003000000000016,1
0.0001004000000000016,1
0.0001005000000000016,0
0.0001006000000000016,0
0.00010070000000000161,0
0.00010080000000000161,0
0.00010090000000000161,0
0.00010100000000000161,1
0.00010110000000000162,1
0.00010120000000000162,1
0.00010130000000000162,1
0.00010140000000000162,1
0.00010150000000000163,0
0.00010160000000000163,0
0.00010170000000000163,0
0.00010180000000000163,0
0.00010190000000000164,0
0.00010200000000000164,1
0.00010210000000000164,1
0.00010220000000000164,1
0.00010230000000000165,1
0.00010240000000000165,1
0.00010250000000000165,0
0.00010260000000000165,0
0.00010270000000000166,0
0.00010280000000000166,0
0.00010290000000000166,0
0.00010300000000000166,1
0.00010310000000000167,1
0.00010320000000000167,1
0.00010330000000000167,1
0.00010340000000000167,1
0.00010350000000000168,0
0.00010360000000000168,0
0.00010370000000000168,0
0.00010380000000000168,0
0.00010390000000000169,0
0.00010400000000000169,1
0.00010410000000000169,1
0.00010420000000000169,1
0.0001043000000000017,1
0.0001044000000000017,1
0.0001045000000000017,0
0.0001046000000000017,0
0.0001047000000000017,0
0.00010480000000000171,0
0.00010490000000000171,0
0.00010500000000000171,1
0.00010510000000000171,1
0.00010520000000000172,1
0.00010530000000000172,1
0.00010540000000000172,1
0.00010550000000000172,0
0.00010560000000000173,0
0.00010570000000000173,0
0.00010580000000000173,0
0.00010590000000000173,0
0.00010600000000000174,1
0.00010610000000000174,1
0.00010620000000000174,1
0.00010630000000000174,1
0.00010640000000000175,1
0.00010650000000000175,0
